variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
"r_Team[Newcastle.Utd,Intercept]",0.06175062771109106,0.061719975999999996,0.06492217452816744,-0.06671143522499999,0.1892202857499999,1.0023332390221316,1526.6854627316386,3330.8008136379544
"r_Team[Norwich.City,Intercept]",-0.3690056960775,-0.367975485,0.10547346541124954,-0.57922133825,-0.16960314675000004,1.0004015082267836,3873.378055375862,5217.294757960039
"r_Team[Nott'ham.Forest,Intercept]",-0.107192514236222,-0.106437495,0.10972167524917685,-0.32684702275,0.10578358599999976,1.0004013395442664,4046.477593639253,5375.078164539044
"r_Team[QPR,Intercept]",-0.018751758961229124,-0.017716636,0.14187858987230678,-0.30685169325,0.25475000449999996,1.0003778436119781,5652.877657809457,5358.996192264076
"r_Team[Sheffield.Utd,Intercept]",-0.3597157751622875,-0.3588985,0.10253307649656018,-0.56645866675,-0.16550005975000015,1.0004308386623253,4297.891331670266,5783.63813316783
"r_Team[Southampton,Intercept]",0.00236648533734675,0.0011450223,0.06560097669614354,-0.125767511,0.13326243725,1.001983547303763,1632.6340893419176,3616.926580175192
"r_Team[Stoke.City,Intercept]",-0.09486682732056613,-0.0941613315,0.08469650146504062,-0.26434334325000003,0.06934639694999994,1.0012015839783448,2646.604019062962,4898.526692671212
"r_Team[Sunderland,Intercept]",-0.200080483414625,-0.19819056499999999,0.10131512525614342,-0.40156268749999996,-0.006750550720000174,1.000258076987253,3970.1205986921454,4896.496187112565
"r_Team[Swansea.City,Intercept]",-0.1053443926112695,-0.10466494,0.08882164321571233,-0.28174637825000004,0.06551221859999992,1.000880970993657,2646.964283792709,4549.111912707307
"r_Team[Tottenham,Intercept]",0.38375293504,0.38346383500000003,0.05973136734093948,0.26923913774999997,0.50306432925,1.001952412277326,1323.9139693912116,2932.383358181117
"r_Team[Watford,Intercept]",-0.09904603804491681,-0.09835372249999999,0.07712698384061786,-0.25269541850000005,0.04933061887499994,1.0015564596573043,2052.389591565075,3987.42566148523
"r_Team[West.Brom,Intercept]",-0.2056273274082015,-0.205540365,0.08406123803440174,-0.36826533949999996,-0.042187737875000096,1.0007816423120741,2660.0029285397777,4639.297967871909
"r_Team[West.Ham,Intercept]",0.12370854765120477,0.12464639999999999,0.061971277068016216,7.822391992500021e-4,0.2445600445,1.001799197698929,1487.8385926537728,3406.1629650086193
"r_Team[Wolves,Intercept]",-0.11163657402615725,-0.11048661000000001,0.07708559554540109,-0.26496451125,0.037083478524999984,1.0016541946389643,2081.976114910339,4189.839543681582
prior_Intercept,0.33570039326691875,0.337424485,0.20266328742473597,-0.06865030552499998,0.73556489625,1.0000495871739608,7850.015381280425,7876.42774485788
prior_b,0.0022330284393525,0.0036783805,0.15114962311682706,-0.2936673572499999,0.2937419552499997,1.000093412976954,8339.819971439163,8055.814463853901
prior_sd_Opponent,0.16426038010567487,0.139903065,0.1214652844559016,0.007033324352500003,0.45052996824999997,0.9997201274203374,7849.109216303837,7891.705816491052
prior_sd_Season,0.0794581379717939,0.0669182965,0.060001583390000585,0.003073763307500001,0.21949976649999986,1.0001413284867564,7943.232533827946,7844.5769779448265
prior_sd_Team,0.15958679408899126,0.132011025,0.12249112857716782,0.0056837808375,0.45170560274999993,0.9998899922585551,7576.432298952491,7488.999753592216
lprior,6.3820815771375,6.422473999999999,0.4613845993642819,5.337973365,7.1654158500000005,1.0009643919871076,2416.411631306052,4311.033638112238
lp__,-11223.58388125,-11223.198,8.859568058512858,-11241.698075,-11207.370275,1.0017159269202676,1613.7462614991716,3376.500779933151
